Country,Year,Month,Service Area,"Number Of Wireline Telephones  (UOM:Number), Scaling Factor:1000000","Number Of Wireless Telephones (UOM:Number), Scaling Factor:1000000","Percentage Share In Total Telephones (UOM:Percentage), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Punjab,1.36,35.01,3.08
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Rajasthan,0.92,65.53,5.63
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Tamil Nadu,2.78,77.67,6.82
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Uttar Pradesh (East),0.84,100.34,8.57
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Uttar Pradesh (West),0.87,62.31,5.35
India,"Calendar Year (Jan - Dec), 2023","September, 2023",West Bengal,0.47,56.89,4.86
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Kolkata,0.95,24.03,2.12
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Delhi,4.07,55.39,5.04
India,"Calendar Year (Jan - Dec), 2023","September, 2023",Mumbai,3.45,33.88,3.16
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Andhra Pradesh,2.6,82.07,7.19
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Assam,0.3,25.47,2.19
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Bihar,0.75,92.68,7.93
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Gujarat,1.38,66.4,5.75
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Haryana,0.51,26.4,2.28
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Himachal Pradesh,0.15,8.9,0.77
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Jammu & Kashmir,0.37,12.22,1.07
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Karnataka,3.13,65.99,5.87
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Kerala,1.4,42.64,3.74
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Madhya Pradesh,1.48,77.51,6.7
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Maharashtra,1.51,93.02,8.02
India,"Calendar Year (Jan - Dec), 2023","August, 2023",North East,0.23,12.35,1.07
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Odisha,0.44,33.61,2.89
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Punjab,1.34,35.08,3.09
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Rajasthan,0.91,64.56,5.56
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Tamil Nadu,2.77,77.31,6.8
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Uttar Pradesh (East),0.83,100.41,8.59
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Uttar Pradesh (West),0.85,62.45,5.37
India,"Calendar Year (Jan - Dec), 2023","August, 2023",West Bengal,0.46,56.59,4.84
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Kolkata,0.95,23.96,2.11
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Delhi,4.03,55.0,5.01
India,"Calendar Year (Jan - Dec), 2023","August, 2023",Mumbai,3.44,33.79,3.16
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Andhra Pradesh,2.63,82.04,7.2
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Assam,0.3,25.27,2.17
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Bihar,0.75,92.84,7.96
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Gujarat,1.36,66.21,5.75
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Haryana,0.5,26.53,2.3
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Himachal Pradesh,0.15,8.84,0.77
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Jammu & Kashmir,0.37,12.34,1.08
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Karnataka,3.11,66.16,5.89
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Kerala,1.39,42.4,3.72
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Madhya Pradesh,1.46,77.39,6.71
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Maharashtra,1.51,92.59,8.0
India,"Calendar Year (Jan - Dec), 2023","July, 2023",North East,0.22,12.33,1.07
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Odisha,0.44,33.56,2.89
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Punjab,1.32,35.22,3.11
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Rajasthan,0.9,63.82,5.5
India,"Calendar Year (Jan - Dec), 2023","July, 2023",Tamil Nadu,2.76,77.01,6.78
