Country,Year,Month,Service Area,"Number Of Wireline Telephones  (UOM:Number), Scaling Factor:1000000","Number Of Wireless Telephones (UOM:Number), Scaling Factor:1000000","Percentage Share In Total Telephones (UOM:Percentage), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Tamil Nadu,2.52,78.25,6.9
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Uttar Pradesh (East),0.69,100.29,8.63
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Uttar Pradesh (West),0.7,63.35,5.47
India,"Calendar Year (Jan - Dec), 2022","November, 2022",West Bengal,0.46,56.59,4.88
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Kolkata,0.83,23.94,2.12
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Delhi,4.06,53.47,4.92
India,"Calendar Year (Jan - Dec), 2022","November, 2022",Mumbai,3.21,33.89,3.17
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Andhra Pradesh,2.24,82.66,7.25
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Assam,0.26,24.53,2.12
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Bihar,0.58,91.02,7.83
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Gujarat,1.12,66.3,5.76
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Haryana,0.4,26.71,2.32
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Himachal Pradesh,0.14,9.81,0.85
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Jammu & Kashmir,0.33,12.06,1.06
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Karnataka,2.96,65.75,5.87
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Kerala,1.34,42.48,3.74
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Madhya Pradesh,1.18,76.53,6.64
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Maharashtra,1.42,91.45,7.94
India,"Calendar Year (Jan - Dec), 2022","October, 2022",North East,0.2,12.14,1.05
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Odisha,0.36,33.14,2.86
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Punjab,1.06,35.88,3.16
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Rajasthan,0.78,63.06,5.46
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Tamil Nadu,2.5,77.77,6.86
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Uttar Pradesh (East),0.68,100.38,8.64
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Uttar Pradesh (West),0.69,63.92,5.52
India,"Calendar Year (Jan - Dec), 2022","October, 2022",West Bengal,0.45,56.81,4.89
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Kolkata,0.82,23.87,2.11
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Delhi,4.06,53.2,4.89
India,"Calendar Year (Jan - Dec), 2022","October, 2022",Mumbai,3.2,33.98,3.18
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Andhra Pradesh,2.18,82.69,7.24
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Assam,0.25,24.44,2.11
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Bihar,0.56,90.92,7.81
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Gujarat,1.1,66.6,5.78
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Haryana,0.39,26.75,2.32
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Himachal Pradesh,0.13,9.8,0.85
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Jammu & Kashmir,0.32,12.07,1.06
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Karnataka,2.93,65.73,5.86
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Kerala,1.33,42.69,3.76
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Madhya Pradesh,1.16,76.8,6.65
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Maharashtra,1.41,91.75,7.95
India,"Calendar Year (Jan - Dec), 2022","September, 2022",North East,0.19,12.13,1.05
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Odisha,0.36,33.07,2.85
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Punjab,1.04,35.82,3.15
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Rajasthan,0.77,63.34,5.47
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Tamil Nadu,2.47,77.87,6.86
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Uttar Pradesh (East),0.66,100.76,8.66
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Uttar Pradesh (West),0.67,64.23,5.54
India,"Calendar Year (Jan - Dec), 2022","September, 2022",West Bengal,0.44,57.09,4.91
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Kolkata,0.81,23.89,2.11
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Delhi,4.05,53.06,4.87
India,"Calendar Year (Jan - Dec), 2022","September, 2022",Mumbai,3.19,33.84,3.16
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Andhra Pradesh,2.14,83.31,7.27
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Assam,0.24,24.37,2.1
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Bihar,0.5,90.46,7.74
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Gujarat,1.09,67.15,5.81
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Haryana,0.37,26.69,2.3
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Himachal Pradesh,0.13,9.79,0.84
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Jammu & Kashmir,0.3,12.01,1.05
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Karnataka,2.85,65.45,5.81
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Kerala,1.33,42.76,3.75
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Madhya Pradesh,1.13,77.61,6.7
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Maharashtra,1.4,92.23,7.97
India,"Calendar Year (Jan - Dec), 2022","August, 2022",North East,0.19,12.09,1.04
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Odisha,0.35,33.01,2.84
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Punjab,1.02,36.35,3.18
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Rajasthan,0.76,63.44,5.46
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Tamil Nadu,2.44,78.06,6.85
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Uttar Pradesh (East),0.64,101.63,8.71
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Uttar Pradesh (West),0.65,64.59,5.55
India,"Calendar Year (Jan - Dec), 2022","August, 2022",West Bengal,0.42,57.34,4.92
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Kolkata,0.79,23.95,2.11
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Delhi,4.01,52.81,4.84
India,"Calendar Year (Jan - Dec), 2022","August, 2022",Mumbai,3.18,33.9,3.16
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Andhra Pradesh,2.09,83.16,7.26
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Assam,0.24,24.31,2.09
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Bihar,0.48,89.68,7.68
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Gujarat,1.08,67.26,5.82
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Haryana,0.36,26.82,2.32
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Himachal Pradesh,0.13,9.81,0.85
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Jammu & Kashmir,0.3,11.91,1.04
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Karnataka,2.81,65.4,5.81
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Kerala,1.31,42.83,3.76
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Madhya Pradesh,1.11,77.5,6.7
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Maharashtra,1.4,92.38,7.99
India,"Calendar Year (Jan - Dec), 2022","July, 2022",North East,0.18,12.04,1.04
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Odisha,0.35,32.92,2.83
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Punjab,1.01,36.38,3.19
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Rajasthan,0.74,63.3,5.46
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Tamil Nadu,2.41,78.22,6.87
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Uttar Pradesh (East),0.61,101.58,8.71
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Uttar Pradesh (West),0.64,64.64,5.56
India,"Calendar Year (Jan - Dec), 2022","July, 2022",West Bengal,0.41,57.21,4.91
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Kolkata,0.78,24.02,2.11
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Delhi,3.98,52.62,4.82
India,"Calendar Year (Jan - Dec), 2022","July, 2022",Mumbai,3.16,33.94,3.16
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Andhra Pradesh,2.07,83.21,7.27
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Assam,0.24,24.11,2.08
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Bihar,0.47,88.95,7.62
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Gujarat,1.09,67.37,5.84
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Haryana,0.36,27.12,2.34
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Himachal Pradesh,0.13,9.78,0.84
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Jammu & Kashmir,0.3,11.75,1.03
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Karnataka,2.78,65.21,5.8
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Kerala,1.31,42.88,3.77
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Madhya Pradesh,1.12,77.27,6.68
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Maharashtra,1.41,92.34,7.99
India,"Calendar Year (Jan - Dec), 2022","June, 2022",North East,0.18,11.97,1.04
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Odisha,0.34,32.81,2.83
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Punjab,1.01,36.35,3.19
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Rajasthan,0.73,63.13,5.45
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Tamil Nadu,2.4,78.9,6.93
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Uttar Pradesh (East),0.61,101.72,8.73
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Uttar Pradesh (West),0.64,64.48,5.55
India,"Calendar Year (Jan - Dec), 2022","June, 2022",West Bengal,0.4,56.95,4.89
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Kolkata,0.78,23.81,2.1
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Delhi,3.95,53.0,4.86
India,"Calendar Year (Jan - Dec), 2022","June, 2022",Mumbai,3.19,34.17,3.19
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Andhra Pradesh,2.06,83.14,7.28
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Assam,0.23,24.15,2.08
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Bihar,0.46,87.9,7.55
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Gujarat,1.08,67.41,5.85
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Haryana,0.35,26.65,2.31
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Himachal Pradesh,0.12,9.93,0.86
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Jammu & Kashmir,0.29,12.26,1.07
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Karnataka,2.75,65.11,5.8
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Kerala,1.31,43.03,3.79
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Madhya Pradesh,1.09,77.07,6.68
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Maharashtra,1.41,91.79,7.96
India,"Calendar Year (Jan - Dec), 2022","May, 2022",North East,0.18,12.07,1.05
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Odisha,0.34,32.82,2.83
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Punjab,1.0,36.34,3.19
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Rajasthan,0.72,63.05,5.45
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Tamil Nadu,2.37,78.96,6.95
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Uttar Pradesh (East),0.6,101.55,8.73
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Uttar Pradesh (West),0.63,64.45,5.56
India,"Calendar Year (Jan - Dec), 2022","May, 2022",West Bengal,0.4,56.71,4.88
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Kolkata,0.77,23.81,2.1
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Delhi,3.94,52.74,4.84
India,"Calendar Year (Jan - Dec), 2022","May, 2022",Mumbai,3.13,34.46,3.21
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Andhra Pradesh,2.04,82.89,7.27
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Assam,0.22,24.18,2.09
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Bihar,0.45,86.93,7.48
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Gujarat,1.07,67.32,5.86
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Haryana,0.35,27.28,2.37
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Himachal Pradesh,0.12,10.14,0.88
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Jammu & Kashmir,0.29,12.11,1.06
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Karnataka,2.73,64.89,5.79
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Kerala,1.32,43.21,3.81
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Madhya Pradesh,1.07,76.58,6.65
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Maharashtra,1.39,91.51,7.96
India,"Calendar Year (Jan - Dec), 2022","April, 2022",North East,0.17,12.03,1.04
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Odisha,0.33,32.57,2.82
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Punjab,0.97,36.3,3.19
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Rajasthan,0.71,62.86,5.44
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Tamil Nadu,2.36,78.88,6.96
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Uttar Pradesh (East),0.59,100.97,8.7
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Uttar Pradesh (West),0.62,64.09,5.54
India,"Calendar Year (Jan - Dec), 2022","April, 2022",West Bengal,0.39,56.85,4.9
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Kolkata,0.91,23.86,2.12
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Delhi,3.92,52.67,4.85
India,"Calendar Year (Jan - Dec), 2022","April, 2022",Mumbai,3.12,34.45,3.22
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Andhra Pradesh,1.99,83.12,7.29
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Assam,0.21,24.05,2.08
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Bihar,0.44,86.32,7.44
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Gujarat,1.06,67.3,5.86
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Haryana,0.34,27.22,2.36
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Himachal Pradesh,0.12,10.17,0.88
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Jammu & Kashmir,0.28,11.95,1.05
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Karnataka,2.7,64.67,5.77
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Kerala,1.32,43.37,3.83
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Madhya Pradesh,1.04,76.76,6.67
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Maharashtra,1.39,92.3,8.03
India,"Calendar Year (Jan - Dec), 2022","March, 2022",North East,0.16,11.92,1.04
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Odisha,0.59,32.53,2.84
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Punjab,0.68,36.99,3.23
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Rajasthan,0.69,63.19,5.47
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Tamil Nadu,2.35,78.8,6.95
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Uttar Pradesh (East),0.55,100.61,8.67
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Uttar Pradesh (West),0.6,64.09,5.54
India,"Calendar Year (Jan - Dec), 2022","March, 2022",West Bengal,0.38,56.37,4.86
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Kolkata,0.9,23.77,2.11
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Delhi,3.93,52.27,4.82
India,"Calendar Year (Jan - Dec), 2022","March, 2022",Mumbai,3.09,34.27,3.2
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Andhra Pradesh,1.95,83.26,7.31
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Assam,0.2,24.01,2.08
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Bihar,0.43,85.87,7.4
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Gujarat,1.05,67.02,5.84
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Haryana,0.33,27.27,2.37
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Himachal Pradesh,0.12,10.21,0.89
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Jammu & Kashmir,0.28,11.84,1.04
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Karnataka,2.65,64.9,5.79
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Kerala,1.31,43.66,3.86
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Madhya Pradesh,1.01,76.52,6.65
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Maharashtra,1.39,92.24,8.03
India,"Calendar Year (Jan - Dec), 2022","February, 2022",North East,0.16,11.88,1.03
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Odisha,0.32,32.55,2.82
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Punjab,0.92,37.1,3.26
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Rajasthan,0.68,62.66,5.43
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Tamil Nadu,2.33,79.49,7.02
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Uttar Pradesh (East),0.58,100.58,8.68
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Uttar Pradesh (West),0.59,63.96,5.54
India,"Calendar Year (Jan - Dec), 2022","February, 2022",West Bengal,0.37,56.39,4.87
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Kolkata,0.88,23.79,2.12
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Delhi,3.88,52.11,4.8
India,"Calendar Year (Jan - Dec), 2022","February, 2022",Mumbai,3.08,34.22,3.2
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Andhra Pradesh,1.91,83.89,7.34
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Assam,0.2,24.06,2.07
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Bihar,0.42,85.99,7.39
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Gujarat,1.04,67.04,5.82
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Haryana,0.32,27.23,2.36
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Himachal Pradesh,0.12,10.23,0.89
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Jammu & Kashmir,0.27,11.81,1.03
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Karnataka,2.59,65.26,5.8
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Kerala,1.3,44.0,3.87
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Madhya Pradesh,0.99,77.22,6.69
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Maharashtra,1.38,92.38,8.02
India,"Calendar Year (Jan - Dec), 2022","January, 2022",North East,0.15,11.91,1.03
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Odisha,0.31,32.84,2.83
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Punjab,0.84,37.17,3.25
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Rajasthan,0.67,62.95,5.44
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Tamil Nadu,2.31,80.06,7.04
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Uttar Pradesh (East),0.58,100.07,8.61
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Uttar Pradesh (West),0.56,64.08,5.53
India,"Calendar Year (Jan - Dec), 2022","January, 2022",West Bengal,0.36,56.58,4.87
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Kolkata,0.86,24.02,2.13
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Delhi,3.85,52.22,4.79
India,"Calendar Year (Jan - Dec), 2022","January, 2022",Mumbai,3.08,34.26,3.19
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Andhra Pradesh,1.87,84.91,7.37
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Assam,0.19,24.23,2.07
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Bihar,0.4,86.77,7.4
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Gujarat,1.03,67.51,5.82
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Haryana,0.32,27.64,2.37
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Himachal Pradesh,0.12,10.35,0.89
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Jammu & Kashmir,0.26,11.8,1.02
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Karnataka,2.54,66.28,5.84
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Kerala,1.3,44.37,3.88
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Madhya Pradesh,0.96,77.37,6.65
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Maharashtra,1.37,92.41,7.96
India,"Calendar Year (Jan - Dec), 2021","December, 2021",North East,0.15,12.0,1.03
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Odisha,0.3,33.18,2.84
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Punjab,0.81,37.8,3.28
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Rajasthan,0.69,63.33,5.44
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Tamil Nadu,2.26,80.9,7.06
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Uttar Pradesh (East),0.57,100.46,8.58
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Uttar Pradesh (West),0.54,64.21,5.5
India,"Calendar Year (Jan - Dec), 2021","December, 2021",West Bengal,0.35,57.39,4.9
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Kolkata,0.85,24.35,2.14
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Delhi,3.8,52.6,4.79
India,"Calendar Year (Jan - Dec), 2021","December, 2021",Mumbai,3.09,34.18,3.16
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Andhra Pradesh,1.833671,86.233103,7.39
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Assam,0.185824,24.386765,2.06
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Bihar,0.388971,87.041746,7.34
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Gujarat,1.020566,68.690269,5.85
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Haryana,0.31885,27.860123,2.37
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Himachal Pradesh,0.114626,10.461197,0.89
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Jammu & Kashmir,0.261993,11.752683,1.01
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Karnataka,2.491995,66.611282,5.8
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Kerala,1.30102,44.341325,3.83
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Madhya Pradesh,0.941463,79.415899,6.75
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Maharashtra,1.363597,94.330535,8.03
India,"Calendar Year (Jan - Dec), 2021","November, 2021",North East,0.148699,12.075363,1.03
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Odisha,0.299019,33.427104,2.83
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Punjab,0.79707,38.188112,3.27
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Rajasthan,0.645661,64.889528,5.5
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Tamil Nadu,2.2716,81.437095,7.03
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Uttar Pradesh (East),0.56292,101.805506,8.59
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Uttar Pradesh (West),0.537663,64.922314,5.5
India,"Calendar Year (Jan - Dec), 2021","November, 2021",West Bengal,0.346007,57.534536,4.86
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Kolkata,0.844354,24.399251,2.12
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Delhi,3.767142,52.48401,4.72
India,"Calendar Year (Jan - Dec), 2021","November, 2021",Mumbai,3.090507,35.20542,3.22
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Andhra Pradesh,1.794459,86.092912,7.39
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Assam,0.183217,24.441292,2.07
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Bihar,0.38104,86.645781,7.32
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Gujarat,1.024929,68.712262,5.86
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Haryana,0.312041,27.996591,2.38
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Himachal Pradesh,0.114282,10.40615,0.88
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Jammu & Kashmir,0.253614,11.658647,1.0
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Karnataka,2.456501,66.713321,5.81
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Kerala,1.301519,44.204805,3.83
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Madhya Pradesh,0.92427,79.331839,6.75
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Maharashtra,1.363826,94.225071,8.04
India,"Calendar Year (Jan - Dec), 2021","October, 2021",North East,0.146829,12.05412,1.03
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Odisha,0.301036,33.457172,2.84
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Punjab,0.782257,38.137074,3.27
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Rajasthan,0.633583,64.713598,5.49
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Tamil Nadu,2.261804,81.207798,7.02
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Uttar Pradesh (East),0.547377,102.113722,8.63
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Uttar Pradesh (West),0.520546,64.610611,5.48
India,"Calendar Year (Jan - Dec), 2021","October, 2021",West Bengal,0.34163,57.238888,4.84
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Kolkata,0.841556,24.469323,2.13
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Delhi,3.74772,52.55601,4.73
India,"Calendar Year (Jan - Dec), 2021","October, 2021",Mumbai,3.087805,35.24272,3.22
