Country,Year,Type Of Sector,Additional Info,"Energy Consumption (UOM:Gwh(Gigawatthour)), Scaling Factor:1","Percentage Of Electricity Consumption In India (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Annual Growth In India (UOM:%(Percentage)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2014",Electricity Consumed,,948522,100,8.48
India,"Financial Year (Apr - Mar), 2014",Others,,49289,5.2,3.54
India,"Financial Year (Apr - Mar), 2013",Industry,,384418,43.97,5.71
India,"Financial Year (Apr - Mar), 2013",Agriculture,,152744,17.47,7.92
India,"Financial Year (Apr - Mar), 2013",Domestic,,199842,22.86,7.92
India,"Financial Year (Apr - Mar), 2013",Commercial,,74247,8.49,5.73
India,"Financial Year (Apr - Mar), 2013",Traction and Railways,,15540,1.78,7.67
India,"Financial Year (Apr - Mar), 2013",Electricity Consumed,,874209,100,7.07
India,"Financial Year (Apr - Mar), 2013",Others,,47418,5.42,14.72
India,"Financial Year (Apr - Mar), 2012",Industry,,365989,44.4,8.62
India,"Financial Year (Apr - Mar), 2012",Agriculture,,147462,17.89,8.62
India,"Financial Year (Apr - Mar), 2012",Domestic,,183700,22.29,8.62
India,"Financial Year (Apr - Mar), 2012",Commercial,,72794,8.83,8.62
India,"Financial Year (Apr - Mar), 2012",Traction and Railways,,14100,1.71,8.63
India,"Financial Year (Apr - Mar), 2012",Electricity Consumed,,824301,100,8.62
India,"Financial Year (Apr - Mar), 2012",Others,,40256,4.88,8.62
India,"Financial Year (Apr - Mar), 2011",Industry,,352291,44.87,27.1
India,"Financial Year (Apr - Mar), 2011",Agriculture,,140960,17.95,1.28
India,"Financial Year (Apr - Mar), 2011",Domestic,,171104,21.79,0.42
India,"Financial Year (Apr - Mar), 2011",Commercial,,65381,8.33,2.94
India,"Financial Year (Apr - Mar), 2011",Traction and Railways,,14206,1.81,2.31
India,"Financial Year (Apr - Mar), 2011",Electricity Consumed,,785194,100,11.26
India,"Financial Year (Apr - Mar), 2011",Others,,41252,5.25,-0.95
India,"Financial Year (Apr - Mar), 2010",Industry,,272589,39.25,15.14
India,"Financial Year (Apr - Mar), 2010",Agriculture,,131967,19,9.78
India,"Financial Year (Apr - Mar), 2010",Domestic,,169326,24.39,15.91
India,"Financial Year (Apr - Mar), 2010",Commercial,,67289,9.69,11.04
India,"Financial Year (Apr - Mar), 2010",Traction and Railways,,14003,2.02,12.85
India,"Financial Year (Apr - Mar), 2010",Electricity Consumed,,694392,,13.34
India,"Financial Year (Apr - Mar), 2010",Others,,39218,5.65,7.17
India,"Financial Year (Apr - Mar), 2009",Industry,,236752,38.64,
India,"Financial Year (Apr - Mar), 2009",Agriculture,,120209,19.62,
India,"Financial Year (Apr - Mar), 2009",Domestic,,146080,23.85,
India,"Financial Year (Apr - Mar), 2009",Commercial,,60600,9.89,
India,"Financial Year (Apr - Mar), 2009",Traction and Railways,,12408,2.03,
India,"Financial Year (Apr - Mar), 2009",Others,,36595,5.97,
India,"Financial Year (Apr - Mar), 2008",Industry,,209474,37.81,
India,"Financial Year (Apr - Mar), 2008",Agriculture,,109610,19.79,
India,"Financial Year (Apr - Mar), 2008",Domestic,,131720,23.78,
India,"Financial Year (Apr - Mar), 2008",Commercial,,54189,9.78,
India,"Financial Year (Apr - Mar), 2008",Traction and Railways,,11425,2.06,
India,"Financial Year (Apr - Mar), 2008",Others,,37577,6.78,
India,"Financial Year (Apr - Mar), 2007",Industry,,189424,37.74,
India,"Financial Year (Apr - Mar), 2007",Agriculture,,104182,20.75,
India,"Financial Year (Apr - Mar), 2007",Domestic,,120918,24.09,
India,"Financial Year (Apr - Mar), 2007",Commercial,,46685,9.3,
India,"Financial Year (Apr - Mar), 2007",Traction and Railways,,11108,2.21,
India,"Financial Year (Apr - Mar), 2007",Others,,29660,5.91,
India,"Financial Year (Apr - Mar), 2005",Industry,,151557,36.8,
India,"Financial Year (Apr - Mar), 2005",Agriculture,,90292,21.92,
India,"Financial Year (Apr - Mar), 2005",Domestic,,100090,24.3,
India,"Financial Year (Apr - Mar), 2005",Commercial,,35965,8.73,
India,"Financial Year (Apr - Mar), 2005",Traction and Railways,,9944,2.41,
India,"Financial Year (Apr - Mar), 2005",Others,,24039,5.84,
India,"Financial Year (Apr - Mar), 2000",Industry,,107622,33.99,
India,"Financial Year (Apr - Mar), 2000",Agriculture,,84729,26.76,
India,"Financial Year (Apr - Mar), 2000",Domestic,,75629,23.89,
India,"Financial Year (Apr - Mar), 2000",Commercial,,22545,7.12,
India,"Financial Year (Apr - Mar), 2000",Traction and Railways,,8213,2.59,
India,"Financial Year (Apr - Mar), 2000",Others,,17862,5.64,
India,"Financial Year (Apr - Mar), 1995",Industry,,104693,37.79,
India,"Financial Year (Apr - Mar), 1995",Agriculture,,85732,30.95,
India,"Financial Year (Apr - Mar), 1995",Domestic,,51733,18.67,
India,"Financial Year (Apr - Mar), 1995",Commercial,,16996,6.14,
India,"Financial Year (Apr - Mar), 1995",Traction and Railways,,6223,2.25,
India,"Financial Year (Apr - Mar), 1995",Others,,11652,4.21,
India,"Financial Year (Apr - Mar), 1990",Industry,,84209,44.24,
India,"Financial Year (Apr - Mar), 1990",Agriculture,,50321,26.44,
India,"Financial Year (Apr - Mar), 1990",Domestic,,31982,16.8,
India,"Financial Year (Apr - Mar), 1990",Commercial,,11181,5.87,
India,"Financial Year (Apr - Mar), 1990",Traction and Railways,,4112,2.16,
India,"Financial Year (Apr - Mar), 1990",Others,,8552,4.49,
India,"Financial Year (Apr - Mar), 1985",Industry,,66980,54.41,
India,"Financial Year (Apr - Mar), 1985",Agriculture,,23422,19.03,
India,"Financial Year (Apr - Mar), 1985",Domestic,,17258,14.02,
India,"Financial Year (Apr - Mar), 1985",Commercial,,7290,5.92,
India,"Financial Year (Apr - Mar), 1985",Traction and Railways,,3182,2.58,
India,"Financial Year (Apr - Mar), 1985",Others,,4967,4.03,
India,"Financial Year (Apr - Mar), 1980",Industry,,48069,58.36,
India,"Financial Year (Apr - Mar), 1980",Agriculture,,14489,17.59,
India,"Financial Year (Apr - Mar), 1980",Domestic,,9246,11.23,
India,"Financial Year (Apr - Mar), 1980",Commercial,,4682,5.68,
India,"Financial Year (Apr - Mar), 1980",Traction and Railways,,2266,2.75,
India,"Financial Year (Apr - Mar), 1980",Others,,3615,4.39,
India,"Financial Year (Apr - Mar), 1970",Industry,,29579,67.65,
India,"Financial Year (Apr - Mar), 1970",Agriculture,,4470,10.22,
India,"Financial Year (Apr - Mar), 1970",Domestic,,3840,8.78,
India,"Financial Year (Apr - Mar), 1970",Commercial,,2573,5.88,
India,"Financial Year (Apr - Mar), 1970",Traction and Railways,,1364,3.12,
India,"Financial Year (Apr - Mar), 1970",Others,,1898,4.34,
