Country,Year,Month,Service Area,"Tele-Density Service Area-Wise (UOM:Number), Scaling Factor:1000000"
India,"Financial Year (Apr - Mar), 2023","August, 2023",Madhya Pradesh,67.26
India,"Financial Year (Apr - Mar), 2023","August, 2023",Maharashtra,94.41
India,"Financial Year (Apr - Mar), 2023","August, 2023",North East,79.49
India,"Financial Year (Apr - Mar), 2023","August, 2023",Odisha,76.77
India,"Financial Year (Apr - Mar), 2023","August, 2023",Punjab,113.58
India,"Financial Year (Apr - Mar), 2023","August, 2023",Rajasthan,80.38
India,"Financial Year (Apr - Mar), 2023","August, 2023",Tamil Nadu,101.83
India,"Financial Year (Apr - Mar), 2023","August, 2023",Uttar Pradesh,66.19
India,"Financial Year (Apr - Mar), 2023","August, 2023",West Bengal,69.33
India,"Financial Year (Apr - Mar), 2023","August, 2023",Kolkata,137.42
India,"Financial Year (Apr - Mar), 2023","August, 2023",Delhi,273.86
India,"Financial Year (Apr - Mar), 2023","August, 2023",Mumbai,131.42
India,"Financial Year (Apr - Mar), 2023","July, 2023",Andhra Pradesh,92.64
India,"Financial Year (Apr - Mar), 2023","July, 2023",Assam,71.31
India,"Financial Year (Apr - Mar), 2023","July, 2023",Bihar,55.98
India,"Financial Year (Apr - Mar), 2023","July, 2023",Gujarat,92.35
India,"Financial Year (Apr - Mar), 2023","July, 2023",Haryana,89.06
India,"Financial Year (Apr - Mar), 2023","July, 2023",Himachal Pradesh,120.22
India,"Financial Year (Apr - Mar), 2023","July, 2023",Jammu & Kashmir,91.15
India,"Financial Year (Apr - Mar), 2023","July, 2023",Karnataka,102.06
India,"Financial Year (Apr - Mar), 2023","July, 2023",Kerala,121.97
India,"Financial Year (Apr - Mar), 2023","July, 2023",Madhya Pradesh,67.2
India,"Financial Year (Apr - Mar), 2023","July, 2023",Maharashtra,93.95
India,"Financial Year (Apr - Mar), 2023","July, 2023",North East,79.38
India,"Financial Year (Apr - Mar), 2023","July, 2023",Odisha,76.68
India,"Financial Year (Apr - Mar), 2023","July, 2023",Punjab,114.01
India,"Financial Year (Apr - Mar), 2023","July, 2023",Rajasthan,79.52
India,"Financial Year (Apr - Mar), 2023","July, 2023",Tamil Nadu,101.47
India,"Financial Year (Apr - Mar), 2023","July, 2023",Uttar Pradesh,66.18
India,"Financial Year (Apr - Mar), 2023","July, 2023",West Bengal,69.41
India,"Financial Year (Apr - Mar), 2023","July, 2023",Kolkata,137.54
India,"Financial Year (Apr - Mar), 2023","July, 2023",Delhi,272.0
India,"Financial Year (Apr - Mar), 2023","July, 2023",Mumbai,132.07
India,"Financial Year (Apr - Mar), 2023","June, 2023",Andhra Pradesh,92.96
India,"Financial Year (Apr - Mar), 2023","June, 2023",Assam,71.16
India,"Financial Year (Apr - Mar), 2023","June, 2023",Bihar,55.81
India,"Financial Year (Apr - Mar), 2023","June, 2023",Gujarat,92.37
India,"Financial Year (Apr - Mar), 2023","June, 2023",Haryana,88.94
India,"Financial Year (Apr - Mar), 2023","June, 2023",Himachal Pradesh,119.57
India,"Financial Year (Apr - Mar), 2023","June, 2023",Jammu & Kashmir,90.33
India,"Financial Year (Apr - Mar), 2023","June, 2023",Karnataka,101.61
India,"Financial Year (Apr - Mar), 2023","June, 2023",Kerala,121.69
India,"Financial Year (Apr - Mar), 2023","June, 2023",Madhya Pradesh,67.02
India,"Financial Year (Apr - Mar), 2023","June, 2023",Maharashtra,93.35
India,"Financial Year (Apr - Mar), 2023","June, 2023",North East,79.21
India,"Financial Year (Apr - Mar), 2023","June, 2023",Odisha,76.3
India,"Financial Year (Apr - Mar), 2023","June, 2023",Punjab,114.13
India,"Financial Year (Apr - Mar), 2023","June, 2023",Rajasthan,79.51
India,"Financial Year (Apr - Mar), 2023","June, 2023",Tamil Nadu,101.13
India,"Financial Year (Apr - Mar), 2023","June, 2023",Uttar Pradesh,66.15
India,"Financial Year (Apr - Mar), 2023","June, 2023",West Bengal,69.16
India,"Financial Year (Apr - Mar), 2023","June, 2023",Kolkata,138.2
India,"Financial Year (Apr - Mar), 2023","June, 2023",Delhi,271.7
India,"Financial Year (Apr - Mar), 2023","June, 2023",Mumbai,132.43
India,"Financial Year (Apr - Mar), 2023","May, 2023",Andhra Pradesh,93.25
India,"Financial Year (Apr - Mar), 2023","May, 2023",Assam,71.22
India,"Financial Year (Apr - Mar), 2023","May, 2023",Bihar,55.61
India,"Financial Year (Apr - Mar), 2023","May, 2023",Gujarat,92.54
India,"Financial Year (Apr - Mar), 2023","May, 2023",Haryana,88.98
India,"Financial Year (Apr - Mar), 2023","May, 2023",Himachal Pradesh,119.45
India,"Financial Year (Apr - Mar), 2023","May, 2023",Jammu & Kashmir,89.68
India,"Financial Year (Apr - Mar), 2023","May, 2023",Karnataka,101.17
India,"Financial Year (Apr - Mar), 2023","May, 2023",Kerala,121.5
India,"Financial Year (Apr - Mar), 2023","May, 2023",Madhya Pradesh,66.91
India,"Financial Year (Apr - Mar), 2023","May, 2023",Maharashtra,92.78
India,"Financial Year (Apr - Mar), 2023","May, 2023",North East,79.62
India,"Financial Year (Apr - Mar), 2023","May, 2023",Odisha,76.12
India,"Financial Year (Apr - Mar), 2023","May, 2023",Punjab,114.36
India,"Financial Year (Apr - Mar), 2023","May, 2023",Rajasthan,79.77
India,"Financial Year (Apr - Mar), 2023","May, 2023",Tamil Nadu,102.61
India,"Financial Year (Apr - Mar), 2023","May, 2023",Uttar Pradesh,65.94
India,"Financial Year (Apr - Mar), 2023","May, 2023",West Bengal,69.03
India,"Financial Year (Apr - Mar), 2023","May, 2023",Kolkata,138.7
India,"Financial Year (Apr - Mar), 2023","May, 2023",Delhi,272.09
India,"Financial Year (Apr - Mar), 2023","May, 2023",Mumbai,133.54
India,"Financial Year (Apr - Mar), 2023","April, 2023",Andhra Pradesh,93.14
India,"Financial Year (Apr - Mar), 2023","April, 2023",Assam,71.09
India,"Financial Year (Apr - Mar), 2023","April, 2023",Bihar,55.5
India,"Financial Year (Apr - Mar), 2023","April, 2023",Gujarat,92.73
India,"Financial Year (Apr - Mar), 2023","April, 2023",Haryana,89.33
India,"Financial Year (Apr - Mar), 2023","April, 2023",Himachal Pradesh,119.24
India,"Financial Year (Apr - Mar), 2023","April, 2023",Jammu & Kashmir,89.11
India,"Financial Year (Apr - Mar), 2023","April, 2023",Karnataka,101.55
India,"Financial Year (Apr - Mar), 2023","April, 2023",Kerala,121.66
India,"Financial Year (Apr - Mar), 2023","April, 2023",Madhya Pradesh,66.88
India,"Financial Year (Apr - Mar), 2023","April, 2023",Maharashtra,92.72
India,"Financial Year (Apr - Mar), 2023","April, 2023",North East,79.66
India,"Financial Year (Apr - Mar), 2023","April, 2023",Odisha,75.89
India,"Financial Year (Apr - Mar), 2023","April, 2023",Punjab,114.68
India,"Financial Year (Apr - Mar), 2023","April, 2023",Rajasthan,79.58
India,"Financial Year (Apr - Mar), 2023","April, 2023",Tamil Nadu,103.5
India,"Financial Year (Apr - Mar), 2023","April, 2023",Uttar Pradesh,65.99
India,"Financial Year (Apr - Mar), 2023","April, 2023",West Bengal,69.16
India,"Financial Year (Apr - Mar), 2023","April, 2023",Kolkata,139.61
India,"Financial Year (Apr - Mar), 2023","April, 2023",Delhi,273.18
India,"Financial Year (Apr - Mar), 2023","April, 2023",Mumbai,133.49
India,"Financial Year (Apr - Mar), 2022","March, 2023",Andhra Pradesh,93.02
