Country,Year,Month,Service Area,"Tele-Density Service Area-Wise (UOM:Number), Scaling Factor:1000000"
India,"Financial Year (Apr - Mar), 2022","June, 2022",Kerala,123.63
India,"Financial Year (Apr - Mar), 2022","June, 2022",Madhya Pradesh,67.66
India,"Financial Year (Apr - Mar), 2022","June, 2022",Maharashtra,93.43
India,"Financial Year (Apr - Mar), 2022","June, 2022",North East,77.6
India,"Financial Year (Apr - Mar), 2022","June, 2022",Odisha,74.99
India,"Financial Year (Apr - Mar), 2022","June, 2022",Punjab,117.4
India,"Financial Year (Apr - Mar), 2022","June, 2022",Rajasthan,79.39
India,"Financial Year (Apr - Mar), 2022","June, 2022",Tamil Nadu,103.79
India,"Financial Year (Apr - Mar), 2022","June, 2022",Uttar Pradesh,68.16
India,"Financial Year (Apr - Mar), 2022","June, 2022",West Bengal,69.53
India,"Financial Year (Apr - Mar), 2022","June, 2022",Kolkata,141.68
India,"Financial Year (Apr - Mar), 2022","June, 2022",Delhi,269.98
India,"Financial Year (Apr - Mar), 2022","June, 2022",Mumbai,138.57
India,"Financial Year (Apr - Mar), 2022","May, 2022",Andhra Pradesh,93.65
India,"Financial Year (Apr - Mar), 2022","May, 2022",Assam,68.76
India,"Financial Year (Apr - Mar), 2022","May, 2022",Bihar,53.72
India,"Financial Year (Apr - Mar), 2022","May, 2022",Gujarat,95.04
India,"Financial Year (Apr - Mar), 2022","May, 2022",Haryana,90.19
India,"Financial Year (Apr - Mar), 2022","May, 2022",Himachal Pradesh,135.09
India,"Financial Year (Apr - Mar), 2022","May, 2022",Jammu & Kashmir,90.81
India,"Financial Year (Apr - Mar), 2022","May, 2022",Karnataka,100.72
India,"Financial Year (Apr - Mar), 2022","May, 2022",Kerala,124.08
India,"Financial Year (Apr - Mar), 2022","May, 2022",Madhya Pradesh,67.54
India,"Financial Year (Apr - Mar), 2022","May, 2022",Maharashtra,92.87
India,"Financial Year (Apr - Mar), 2022","May, 2022",North East,78.27
India,"Financial Year (Apr - Mar), 2022","May, 2022",Odisha,75.03
India,"Financial Year (Apr - Mar), 2022","May, 2022",Punjab,117.4
India,"Financial Year (Apr - Mar), 2022","May, 2022",Rajasthan,79.35
India,"Financial Year (Apr - Mar), 2022","May, 2022",Tamil Nadu,103.86
India,"Financial Year (Apr - Mar), 2022","May, 2022",Uttar Pradesh,68.13
India,"Financial Year (Apr - Mar), 2022","May, 2022",West Bengal,69.22
India,"Financial Year (Apr - Mar), 2022","May, 2022",Kolkata,142.0
India,"Financial Year (Apr - Mar), 2022","May, 2022",Delhi,269.09
India,"Financial Year (Apr - Mar), 2022","May, 2022",Mumbai,139.84
India,"Financial Year (Apr - Mar), 2022","April, 2022",Andhra Pradesh,93.39
India,"Financial Year (Apr - Mar), 2022","April, 2022",Assam,68.87
India,"Financial Year (Apr - Mar), 2022","April, 2022",Bihar,53.19
India,"Financial Year (Apr - Mar), 2022","April, 2022",Gujarat,95.01
India,"Financial Year (Apr - Mar), 2022","April, 2022",Haryana,92.36
India,"Financial Year (Apr - Mar), 2022","April, 2022",Himachal Pradesh,137.94
India,"Financial Year (Apr - Mar), 2022","April, 2022",Jammu & Kashmir,89.72
India,"Financial Year (Apr - Mar), 2022","April, 2022",Karnataka,100.42
India,"Financial Year (Apr - Mar), 2022","April, 2022",Kerala,124.62
India,"Financial Year (Apr - Mar), 2022","April, 2022",Madhya Pradesh,67.17
India,"Financial Year (Apr - Mar), 2022","April, 2022",Maharashtra,92.58
India,"Financial Year (Apr - Mar), 2022","April, 2022",North East,78.03
India,"Financial Year (Apr - Mar), 2022","April, 2022",Odisha,74.48
India,"Financial Year (Apr - Mar), 2022","April, 2022",Punjab,117.25
India,"Financial Year (Apr - Mar), 2022","April, 2022",Rajasthan,79.18
India,"Financial Year (Apr - Mar), 2022","April, 2022",Tamil Nadu,103.77
India,"Financial Year (Apr - Mar), 2022","April, 2022",Uttar Pradesh,67.8
India,"Financial Year (Apr - Mar), 2022","April, 2022",West Bengal,69.37
India,"Financial Year (Apr - Mar), 2022","April, 2022",Kolkata,143.56
India,"Financial Year (Apr - Mar), 2022","April, 2022",Delhi,269.07
India,"Financial Year (Apr - Mar), 2022","April, 2022",Mumbai,140.27
India,"Financial Year (Apr - Mar), 2021","March, 2022",Andhra Pradesh,93.63
India,"Financial Year (Apr - Mar), 2021","March, 2022",Assam,68.5
India,"Financial Year (Apr - Mar), 2021","March, 2022",Bihar,52.88
India,"Financial Year (Apr - Mar), 2021","March, 2022",Gujarat,95.08
India,"Financial Year (Apr - Mar), 2021","March, 2022",Haryana,92.24
India,"Financial Year (Apr - Mar), 2021","March, 2022",Himachal Pradesh,138.44
India,"Financial Year (Apr - Mar), 2021","March, 2022",Jammu & Kashmir,88.55
India,"Financial Year (Apr - Mar), 2021","March, 2022",Karnataka,100.1
India,"Financial Year (Apr - Mar), 2021","March, 2022",Kerala,125.15
India,"Financial Year (Apr - Mar), 2021","March, 2022",Madhya Pradesh,67.35
India,"Financial Year (Apr - Mar), 2021","March, 2022",Maharashtra,93.35
India,"Financial Year (Apr - Mar), 2021","March, 2022",North East,77.35
India,"Financial Year (Apr - Mar), 2021","March, 2022",Odisha,74.99
India,"Financial Year (Apr - Mar), 2021","March, 2022",Punjab,118.57
India,"Financial Year (Apr - Mar), 2021","March, 2022",Rajasthan,79.62
India,"Financial Year (Apr - Mar), 2021","March, 2022",Tamil Nadu,103.69
India,"Financial Year (Apr - Mar), 2021","March, 2022",Uttar Pradesh,67.68
India,"Financial Year (Apr - Mar), 2021","March, 2022",West Bengal,68.77
India,"Financial Year (Apr - Mar), 2021","March, 2022",Kolkata,143.38
India,"Financial Year (Apr - Mar), 2021","March, 2022",Delhi,267.64
India,"Financial Year (Apr - Mar), 2021","March, 2022",Mumbai,139.96
India,"Financial Year (Apr - Mar), 2021","February, 2022",Andhra Pradesh,93.75
India,"Financial Year (Apr - Mar), 2021","February, 2022",Assam,68.43
India,"Financial Year (Apr - Mar), 2021","February, 2022",Bihar,52.66
India,"Financial Year (Apr - Mar), 2021","February, 2022",Gujarat,94.78
India,"Financial Year (Apr - Mar), 2021","February, 2022",Haryana,92.48
India,"Financial Year (Apr - Mar), 2021","February, 2022",Himachal Pradesh,139.04
India,"Financial Year (Apr - Mar), 2021","February, 2022",Jammu & Kashmir,87.8
India,"Financial Year (Apr - Mar), 2021","February, 2022",Karnataka,100.42
India,"Financial Year (Apr - Mar), 2021","February, 2022",Kerala,125.98
India,"Financial Year (Apr - Mar), 2021","February, 2022",Madhya Pradesh,67.2
India,"Financial Year (Apr - Mar), 2021","February, 2022",Maharashtra,93.28
India,"Financial Year (Apr - Mar), 2021","February, 2022",North East,77.13
India,"Financial Year (Apr - Mar), 2021","February, 2022",Odisha,74.42
India,"Financial Year (Apr - Mar), 2021","February, 2022",Punjab,119.74
India,"Financial Year (Apr - Mar), 2021","February, 2022",Rajasthan,79.02
India,"Financial Year (Apr - Mar), 2021","February, 2022",Tamil Nadu,104.58
India,"Financial Year (Apr - Mar), 2021","February, 2022",Uttar Pradesh,67.69
India,"Financial Year (Apr - Mar), 2021","February, 2022",West Bengal,68.78
India,"Financial Year (Apr - Mar), 2021","February, 2022",Kolkata,143.8
India,"Financial Year (Apr - Mar), 2021","February, 2022",Delhi,267.09
India,"Financial Year (Apr - Mar), 2021","February, 2022",Mumbai,140.21
India,"Financial Year (Apr - Mar), 2021","January, 2022",Andhra Pradesh,94.44
India,"Financial Year (Apr - Mar), 2021","January, 2022",Assam,68.62
India,"Financial Year (Apr - Mar), 2021","January, 2022",Bihar,52.79
India,"Financial Year (Apr - Mar), 2021","January, 2022",Gujarat,94.91
India,"Financial Year (Apr - Mar), 2021","January, 2022",Haryana,92.4
India,"Financial Year (Apr - Mar), 2021","January, 2022",Himachal Pradesh,139.32
India,"Financial Year (Apr - Mar), 2021","January, 2022",Jammu & Kashmir,87.58
India,"Financial Year (Apr - Mar), 2021","January, 2022",Karnataka,100.92
India,"Financial Year (Apr - Mar), 2021","January, 2022",Kerala,126.92
India,"Financial Year (Apr - Mar), 2021","January, 2022",Madhya Pradesh,67.85
India,"Financial Year (Apr - Mar), 2021","January, 2022",Maharashtra,93.41
India,"Financial Year (Apr - Mar), 2021","January, 2022",North East,77.37
India,"Financial Year (Apr - Mar), 2021","January, 2022",Odisha,75.09
India,"Financial Year (Apr - Mar), 2021","January, 2022",Punjab,119.75
India,"Financial Year (Apr - Mar), 2021","January, 2022",Rajasthan,79.44
India,"Financial Year (Apr - Mar), 2021","January, 2022",Tamil Nadu,105.32
India,"Financial Year (Apr - Mar), 2021","January, 2022",Uttar Pradesh,67.58
India,"Financial Year (Apr - Mar), 2021","January, 2022",West Bengal,68.99
India,"Financial Year (Apr - Mar), 2021","January, 2022",Kolkata,145.36
India,"Financial Year (Apr - Mar), 2021","January, 2022",Delhi,267.89
India,"Financial Year (Apr - Mar), 2021","January, 2022",Mumbai,140.79
India,"Financial Year (Apr - Mar), 2021","December, 2021",Andhra Pradesh,95.55
India,"Financial Year (Apr - Mar), 2021","December, 2021",Assam,69.15
India,"Financial Year (Apr - Mar), 2021","December, 2021",Bihar,53.32
India,"Financial Year (Apr - Mar), 2021","December, 2021",Gujarat,95.65
India,"Financial Year (Apr - Mar), 2021","December, 2021",Haryana,93.87
India,"Financial Year (Apr - Mar), 2021","December, 2021",Himachal Pradesh,140.89
India,"Financial Year (Apr - Mar), 2021","December, 2021",Jammu & Kashmir,87.51
India,"Financial Year (Apr - Mar), 2021","December, 2021",Karnataka,102.41
India,"Financial Year (Apr - Mar), 2021","December, 2021",Kerala,128.01
India,"Financial Year (Apr - Mar), 2021","December, 2021",Madhya Pradesh,68.03
India,"Financial Year (Apr - Mar), 2021","December, 2021",Maharashtra,93.44
India,"Financial Year (Apr - Mar), 2021","December, 2021",North East,77.99
India,"Financial Year (Apr - Mar), 2021","December, 2021",Odisha,75.85
India,"Financial Year (Apr - Mar), 2021","December, 2021",Punjab,121.72
India,"Financial Year (Apr - Mar), 2021","December, 2021",Rajasthan,80.01
India,"Financial Year (Apr - Mar), 2021","December, 2021",Tamil Nadu,106.35
India,"Financial Year (Apr - Mar), 2021","December, 2021",Uttar Pradesh,67.83
India,"Financial Year (Apr - Mar), 2021","December, 2021",West Bengal,69.96
India,"Financial Year (Apr - Mar), 2021","December, 2021",Kolkata,147.66
India,"Financial Year (Apr - Mar), 2021","December, 2021",Delhi,269.86
India,"Financial Year (Apr - Mar), 2021","December, 2021",Mumbai,140.92
India,"Financial Year (Apr - Mar), 2021","November, 2021",Andhra Pradesh,97.0
India,"Financial Year (Apr - Mar), 2021","November, 2021",Assam,69.62
India,"Financial Year (Apr - Mar), 2021","November, 2021",Bihar,53.54
India,"Financial Year (Apr - Mar), 2021","November, 2021",Gujarat,97.39
India,"Financial Year (Apr - Mar), 2021","November, 2021",Haryana,94.7
India,"Financial Year (Apr - Mar), 2021","November, 2021",Himachal Pradesh,142.49
India,"Financial Year (Apr - Mar), 2021","November, 2021",Jammu & Kashmir,87.19
India,"Financial Year (Apr - Mar), 2021","November, 2021",Karnataka,102.89
India,"Financial Year (Apr - Mar), 2021","November, 2021",Kerala,127.98
India,"Financial Year (Apr - Mar), 2021","November, 2021",Madhya Pradesh,69.85
India,"Financial Year (Apr - Mar), 2021","November, 2021",Maharashtra,95.34
India,"Financial Year (Apr - Mar), 2021","November, 2021",North East,78.5
India,"Financial Year (Apr - Mar), 2021","November, 2021",Odisha,76.42
India,"Financial Year (Apr - Mar), 2021","November, 2021",Punjab,122.97
India,"Financial Year (Apr - Mar), 2021","November, 2021",Rajasthan,81.99
India,"Financial Year (Apr - Mar), 2021","November, 2021",Tamil Nadu,107.08
India,"Financial Year (Apr - Mar), 2021","November, 2021",Uttar Pradesh,68.73
India,"Financial Year (Apr - Mar), 2021","November, 2021",West Bengal,70.13
India,"Financial Year (Apr - Mar), 2021","November, 2021",Kolkata,148.23
India,"Financial Year (Apr - Mar), 2021","November, 2021",Delhi,269.57
India,"Financial Year (Apr - Mar), 2021","November, 2021",Mumbai,145.26
India,"Financial Year (Apr - Mar), 2021","October, 2021",Andhra Pradesh,96.84
India,"Financial Year (Apr - Mar), 2021","October, 2021",Assam,69.82
India,"Financial Year (Apr - Mar), 2021","October, 2021",Bihar,53.35
India,"Financial Year (Apr - Mar), 2021","October, 2021",Gujarat,97.53
India,"Financial Year (Apr - Mar), 2021","October, 2021",Haryana,95.24
India,"Financial Year (Apr - Mar), 2021","October, 2021",Himachal Pradesh,141.82
India,"Financial Year (Apr - Mar), 2021","October, 2021",Jammu & Kashmir,86.5
India,"Financial Year (Apr - Mar), 2021","October, 2021",Karnataka,103.04
India,"Financial Year (Apr - Mar), 2021","October, 2021",Kerala,127.64
India,"Financial Year (Apr - Mar), 2021","October, 2021",Madhya Pradesh,69.83
India,"Financial Year (Apr - Mar), 2021","October, 2021",Maharashtra,95.24
India,"Financial Year (Apr - Mar), 2021","October, 2021",North East,78.41
India,"Financial Year (Apr - Mar), 2021","October, 2021",Odisha,76.52
India,"Financial Year (Apr - Mar), 2021","October, 2021",Punjab,122.83
India,"Financial Year (Apr - Mar), 2021","October, 2021",Rajasthan,81.83
India,"Financial Year (Apr - Mar), 2021","October, 2021",Tamil Nadu,106.81
India,"Financial Year (Apr - Mar), 2021","October, 2021",Uttar Pradesh,68.77
India,"Financial Year (Apr - Mar), 2021","October, 2021",West Bengal,69.76
India,"Financial Year (Apr - Mar), 2021","October, 2021",Kolkata,148.99
India,"Financial Year (Apr - Mar), 2021","October, 2021",Delhi,270.25
India,"Financial Year (Apr - Mar), 2021","October, 2021",Mumbai,145.84
India,"Financial Year (Apr - Mar), 2021","September, 2021",Andhra Pradesh,97.17
India,"Financial Year (Apr - Mar), 2021","September, 2021",Assam,69.62
India,"Financial Year (Apr - Mar), 2021","September, 2021",Bihar,53.59
India,"Financial Year (Apr - Mar), 2021","September, 2021",Gujarat,97.61
India,"Financial Year (Apr - Mar), 2021","September, 2021",Haryana,95.36
India,"Financial Year (Apr - Mar), 2021","September, 2021",Himachal Pradesh,141.67
India,"Financial Year (Apr - Mar), 2021","September, 2021",Jammu & Kashmir,86.76
India,"Financial Year (Apr - Mar), 2021","September, 2021",Karnataka,103.23
India,"Financial Year (Apr - Mar), 2021","September, 2021",Kerala,127.42
India,"Financial Year (Apr - Mar), 2021","September, 2021",Madhya Pradesh,69.47
India,"Financial Year (Apr - Mar), 2021","September, 2021",Maharashtra,94.84
India,"Financial Year (Apr - Mar), 2021","September, 2021",North East,78.29
India,"Financial Year (Apr - Mar), 2021","September, 2021",Odisha,77.19
India,"Financial Year (Apr - Mar), 2021","September, 2021",Punjab,122.39
India,"Financial Year (Apr - Mar), 2021","September, 2021",Rajasthan,81.86
India,"Financial Year (Apr - Mar), 2021","September, 2021",Tamil Nadu,107.19
India,"Financial Year (Apr - Mar), 2021","September, 2021",Uttar Pradesh,68.66
India,"Financial Year (Apr - Mar), 2021","September, 2021",West Bengal,69.82
India,"Financial Year (Apr - Mar), 2021","September, 2021",Kolkata,150.94
India,"Financial Year (Apr - Mar), 2021","September, 2021",Delhi,269.76
India,"Financial Year (Apr - Mar), 2021","September, 2021",Mumbai,146.09
India,"Financial Year (Apr - Mar), 2021","August, 2021",Andhra Pradesh,98.54
India,"Financial Year (Apr - Mar), 2021","August, 2021",Assam,72.18
India,"Financial Year (Apr - Mar), 2021","August, 2021",Bihar,53.81
India,"Financial Year (Apr - Mar), 2021","August, 2021",Gujarat,99.62
India,"Financial Year (Apr - Mar), 2021","August, 2021",Haryana,96.37
India,"Financial Year (Apr - Mar), 2021","August, 2021",Himachal Pradesh,149.34
India,"Financial Year (Apr - Mar), 2021","August, 2021",Jammu & Kashmir,88.53
India,"Financial Year (Apr - Mar), 2021","August, 2021",Karnataka,104.8
India,"Financial Year (Apr - Mar), 2021","August, 2021",Kerala,131.4
India,"Financial Year (Apr - Mar), 2021","August, 2021",Madhya Pradesh,69.85
India,"Financial Year (Apr - Mar), 2021","August, 2021",Maharashtra,95.85
India,"Financial Year (Apr - Mar), 2021","August, 2021",North East,81.28
India,"Financial Year (Apr - Mar), 2021","August, 2021",Odisha,79.78
India,"Financial Year (Apr - Mar), 2021","August, 2021",Punjab,126.61
India,"Financial Year (Apr - Mar), 2021","August, 2021",Rajasthan,82.87
India,"Financial Year (Apr - Mar), 2021","August, 2021",Tamil Nadu,109.01
India,"Financial Year (Apr - Mar), 2021","August, 2021",Uttar Pradesh,69.11
India,"Financial Year (Apr - Mar), 2021","August, 2021",West Bengal,70.21
India,"Financial Year (Apr - Mar), 2021","August, 2021",Kolkata,159.71
India,"Financial Year (Apr - Mar), 2021","August, 2021",Delhi,278.27
India,"Financial Year (Apr - Mar), 2021","August, 2021",Mumbai,155.78
India,"Financial Year (Apr - Mar), 2021","July, 2021",Andhra Pradesh,98.55
India,"Financial Year (Apr - Mar), 2021","July, 2021",Assam,72.25
India,"Financial Year (Apr - Mar), 2021","July, 2021",Bihar,53.95
India,"Financial Year (Apr - Mar), 2021","July, 2021",Gujarat,100.17
India,"Financial Year (Apr - Mar), 2021","July, 2021",Haryana,96.28
India,"Financial Year (Apr - Mar), 2021","July, 2021",Himachal Pradesh,148.73
India,"Financial Year (Apr - Mar), 2021","July, 2021",Jammu & Kashmir,88.41
India,"Financial Year (Apr - Mar), 2021","July, 2021",Karnataka,104.59
India,"Financial Year (Apr - Mar), 2021","July, 2021",Kerala,131.38
India,"Financial Year (Apr - Mar), 2021","July, 2021",Madhya Pradesh,69.79
India,"Financial Year (Apr - Mar), 2021","July, 2021",Maharashtra,96.21
India,"Financial Year (Apr - Mar), 2021","July, 2021",North East,81.27
India,"Financial Year (Apr - Mar), 2021","July, 2021",Odisha,80.13
India,"Financial Year (Apr - Mar), 2021","July, 2021",Punjab,126.05
India,"Financial Year (Apr - Mar), 2021","July, 2021",Rajasthan,83.08
India,"Financial Year (Apr - Mar), 2021","July, 2021",Tamil Nadu,108.47
India,"Financial Year (Apr - Mar), 2021","July, 2021",Uttar Pradesh,69.17
India,"Financial Year (Apr - Mar), 2021","July, 2021",West Bengal,70.18
India,"Financial Year (Apr - Mar), 2021","July, 2021",Kolkata,160.28
India,"Financial Year (Apr - Mar), 2021","July, 2021",Delhi,279.5
India,"Financial Year (Apr - Mar), 2021","July, 2021",Mumbai,155.62
India,"Financial Year (Apr - Mar), 2021","June, 2021",Andhra Pradesh,98.53
India,"Financial Year (Apr - Mar), 2021","June, 2021",Assam,71.75
India,"Financial Year (Apr - Mar), 2021","June, 2021",Bihar,53.59
India,"Financial Year (Apr - Mar), 2021","June, 2021",Gujarat,99.68
India,"Financial Year (Apr - Mar), 2021","June, 2021",Haryana,95.65
India,"Financial Year (Apr - Mar), 2021","June, 2021",Himachal Pradesh,148.0
India,"Financial Year (Apr - Mar), 2021","June, 2021",Jammu & Kashmir,88.33
India,"Financial Year (Apr - Mar), 2021","June, 2021",Karnataka,104.66
India,"Financial Year (Apr - Mar), 2021","June, 2021",Kerala,130.43
India,"Financial Year (Apr - Mar), 2021","June, 2021",Madhya Pradesh,69.26
India,"Financial Year (Apr - Mar), 2021","June, 2021",Maharashtra,95.58
India,"Financial Year (Apr - Mar), 2021","June, 2021",North East,81.37
India,"Financial Year (Apr - Mar), 2021","June, 2021",Odisha,79.49
India,"Financial Year (Apr - Mar), 2021","June, 2021",Punjab,125.4
India,"Financial Year (Apr - Mar), 2021","June, 2021",Rajasthan,83.07
India,"Financial Year (Apr - Mar), 2021","June, 2021",Tamil Nadu,108.44
India,"Financial Year (Apr - Mar), 2021","June, 2021",Uttar Pradesh,68.31
India,"Financial Year (Apr - Mar), 2021","June, 2021",West Bengal,69.59
India,"Financial Year (Apr - Mar), 2021","June, 2021",Kolkata,160.29
India,"Financial Year (Apr - Mar), 2021","June, 2021",Delhi,280.29
India,"Financial Year (Apr - Mar), 2021","June, 2021",Mumbai,155.18
India,"Financial Year (Apr - Mar), 2021","May, 2021",Andhra Pradesh,98.31
India,"Financial Year (Apr - Mar), 2021","May, 2021",Assam,71.69
India,"Financial Year (Apr - Mar), 2021","May, 2021",Bihar,53.38
India,"Financial Year (Apr - Mar), 2021","May, 2021",Gujarat,99.31
India,"Financial Year (Apr - Mar), 2021","May, 2021",Haryana,95.49
India,"Financial Year (Apr - Mar), 2021","May, 2021",Himachal Pradesh,151.05
India,"Financial Year (Apr - Mar), 2021","May, 2021",Jammu & Kashmir,87.73
India,"Financial Year (Apr - Mar), 2021","May, 2021",Karnataka,104.38
India,"Financial Year (Apr - Mar), 2021","May, 2021",Kerala,130.39
India,"Financial Year (Apr - Mar), 2021","May, 2021",Madhya Pradesh,68.91
India,"Financial Year (Apr - Mar), 2021","May, 2021",Maharashtra,95.34
India,"Financial Year (Apr - Mar), 2021","May, 2021",North East,81.3
India,"Financial Year (Apr - Mar), 2021","May, 2021",Odisha,78.82
India,"Financial Year (Apr - Mar), 2021","May, 2021",Punjab,124.87
India,"Financial Year (Apr - Mar), 2021","May, 2021",Rajasthan,83.06
India,"Financial Year (Apr - Mar), 2021","May, 2021",Tamil Nadu,108.06
India,"Financial Year (Apr - Mar), 2021","May, 2021",Uttar Pradesh,68.36
India,"Financial Year (Apr - Mar), 2021","May, 2021",West Bengal,69.12
India,"Financial Year (Apr - Mar), 2021","May, 2021",Kolkata,160.44
India,"Financial Year (Apr - Mar), 2021","May, 2021",Delhi,278.82
India,"Financial Year (Apr - Mar), 2021","May, 2021",Mumbai,154.38
India,"Financial Year (Apr - Mar), 2021","April, 2021",Andhra Pradesh,99.43
India,"Financial Year (Apr - Mar), 2021","April, 2021",Assam,71.55
India,"Financial Year (Apr - Mar), 2021","April, 2021",Bihar,53.57
India,"Financial Year (Apr - Mar), 2021","April, 2021",Gujarat,99.53
India,"Financial Year (Apr - Mar), 2021","April, 2021",Haryana,95.64
India,"Financial Year (Apr - Mar), 2021","April, 2021",Himachal Pradesh,151.98
India,"Financial Year (Apr - Mar), 2021","April, 2021",Jammu & Kashmir,88.44
India,"Financial Year (Apr - Mar), 2021","April, 2021",Karnataka,105.46
India,"Financial Year (Apr - Mar), 2021","April, 2021",Kerala,130.56
India,"Financial Year (Apr - Mar), 2021","April, 2021",Madhya Pradesh,69.09
India,"Financial Year (Apr - Mar), 2021","April, 2021",Maharashtra,95.67
India,"Financial Year (Apr - Mar), 2021","April, 2021",North East,81.58
India,"Financial Year (Apr - Mar), 2021","April, 2021",Odisha,78.79
India,"Financial Year (Apr - Mar), 2021","April, 2021",Punjab,125.67
India,"Financial Year (Apr - Mar), 2021","April, 2021",Rajasthan,83.82
India,"Financial Year (Apr - Mar), 2021","April, 2021",Tamil Nadu,108.76
India,"Financial Year (Apr - Mar), 2021","April, 2021",Uttar Pradesh,68.43
India,"Financial Year (Apr - Mar), 2021","April, 2021",West Bengal,69.03
India,"Financial Year (Apr - Mar), 2021","April, 2021",Kolkata,163.01
India,"Financial Year (Apr - Mar), 2021","April, 2021",Delhi,281.65
India,"Financial Year (Apr - Mar), 2021","April, 2021",Mumbai,155.75
India,"Financial Year (Apr - Mar), 2020","March, 2021",Andhra Pradesh,99.56
India,"Financial Year (Apr - Mar), 2020","March, 2021",Assam,70.86
India,"Financial Year (Apr - Mar), 2020","March, 2021",Bihar,53.57
India,"Financial Year (Apr - Mar), 2020","March, 2021",Gujarat,99.18
India,"Financial Year (Apr - Mar), 2020","March, 2021",Haryana,95.24
India,"Financial Year (Apr - Mar), 2020","March, 2021",Himachal Pradesh,152.5
India,"Financial Year (Apr - Mar), 2020","March, 2021",Jammu & Kashmir,89.01
India,"Financial Year (Apr - Mar), 2020","March, 2021",Karnataka,105.85
India,"Financial Year (Apr - Mar), 2020","March, 2021",Kerala,129.45
India,"Financial Year (Apr - Mar), 2020","March, 2021",Madhya Pradesh,68.87
India,"Financial Year (Apr - Mar), 2020","March, 2021",Maharashtra,95.83
India,"Financial Year (Apr - Mar), 2020","March, 2021",North East,81.11
India,"Financial Year (Apr - Mar), 2020","March, 2021",Odisha,78.46
India,"Financial Year (Apr - Mar), 2020","March, 2021",Punjab,125.27
India,"Financial Year (Apr - Mar), 2020","March, 2021",Rajasthan,84.14
India,"Financial Year (Apr - Mar), 2020","March, 2021",Tamil Nadu,108.22
India,"Financial Year (Apr - Mar), 2020","March, 2021",Uttar Pradesh,68.09
India,"Financial Year (Apr - Mar), 2020","March, 2021",West Bengal,68.5
India,"Financial Year (Apr - Mar), 2020","March, 2021",Kolkata,163.86
India,"Financial Year (Apr - Mar), 2020","March, 2021",Delhi,282.01
India,"Financial Year (Apr - Mar), 2020","March, 2021",Mumbai,158.26
India,"Financial Year (Apr - Mar), 2020","February, 2021",Andhra Pradesh,98.84
India,"Financial Year (Apr - Mar), 2020","February, 2021",Assam,70.11
India,"Financial Year (Apr - Mar), 2020","February, 2021",Bihar,52.95
India,"Financial Year (Apr - Mar), 2020","February, 2021",Gujarat,98.16
India,"Financial Year (Apr - Mar), 2020","February, 2021",Haryana,94.27
India,"Financial Year (Apr - Mar), 2020","February, 2021",Himachal Pradesh,151.67
India,"Financial Year (Apr - Mar), 2020","February, 2021",Jammu & Kashmir,88.39
India,"Financial Year (Apr - Mar), 2020","February, 2021",Karnataka,104.87
India,"Financial Year (Apr - Mar), 2020","February, 2021",Kerala,129.99
India,"Financial Year (Apr - Mar), 2020","February, 2021",Madhya Pradesh,67.82
India,"Financial Year (Apr - Mar), 2020","February, 2021",Maharashtra,95.02
India,"Financial Year (Apr - Mar), 2020","February, 2021",North East,80.49
India,"Financial Year (Apr - Mar), 2020","February, 2021",Odisha,77.71
India,"Financial Year (Apr - Mar), 2020","February, 2021",Punjab,124.28
India,"Financial Year (Apr - Mar), 2020","February, 2021",Rajasthan,83.61
India,"Financial Year (Apr - Mar), 2020","February, 2021",Tamil Nadu,106.46
India,"Financial Year (Apr - Mar), 2020","February, 2021",Uttar Pradesh,67.48
India,"Financial Year (Apr - Mar), 2020","February, 2021",West Bengal,67.82
India,"Financial Year (Apr - Mar), 2020","February, 2021",Kolkata,162.21
India,"Financial Year (Apr - Mar), 2020","February, 2021",Delhi,277.98
India,"Financial Year (Apr - Mar), 2020","February, 2021",Mumbai,154.56
India,"Financial Year (Apr - Mar), 2020","January, 2021",Andhra Pradesh,98.85
India,"Financial Year (Apr - Mar), 2020","January, 2021",Assam,69.71
India,"Financial Year (Apr - Mar), 2020","January, 2021",Bihar,53.08
India,"Financial Year (Apr - Mar), 2020","January, 2021",Gujarat,97.49
India,"Financial Year (Apr - Mar), 2020","January, 2021",Haryana,93.1
India,"Financial Year (Apr - Mar), 2020","January, 2021",Himachal Pradesh,152.14
India,"Financial Year (Apr - Mar), 2020","January, 2021",Jammu & Kashmir,88.3
India,"Financial Year (Apr - Mar), 2020","January, 2021",Karnataka,104.19
India,"Financial Year (Apr - Mar), 2020","January, 2021",Kerala,129.62
India,"Financial Year (Apr - Mar), 2020","January, 2021",Madhya Pradesh,67.4
India,"Financial Year (Apr - Mar), 2020","January, 2021",Maharashtra,94.37
India,"Financial Year (Apr - Mar), 2020","January, 2021",North East,80.51
India,"Financial Year (Apr - Mar), 2020","January, 2021",Odisha,77.38
India,"Financial Year (Apr - Mar), 2020","January, 2021",Punjab,121.99
India,"Financial Year (Apr - Mar), 2020","January, 2021",Rajasthan,83.45
India,"Financial Year (Apr - Mar), 2020","January, 2021",Tamil Nadu,106.13
India,"Financial Year (Apr - Mar), 2020","January, 2021",Uttar Pradesh,67.11
India,"Financial Year (Apr - Mar), 2020","January, 2021",West Bengal,67.21
India,"Financial Year (Apr - Mar), 2020","January, 2021",Kolkata,162.08
India,"Financial Year (Apr - Mar), 2020","January, 2021",Delhi,275.13
